,zip,state,excessive_count,readmission_ratio,predicted_rate,expected_rate,nursing_care,physical_therapy,occupational_therapy,pathology_services,medical_soc_services,home_health_aid,star_rating,timeliness,rx_ed,fall_risk,depression_check,flu_shot,pneumonia_shot,d_foot_care,move_buff,in_out_bed_buff,bathing_buff,move_pain_debuff,breathing_buff,oral_rx_buff,hospital_admit,urgent_noadmit,readmit_expectation,er_admit_expectation
758,26301,WV,6,0.9807200000000001,16.259999999999998,16.46,1,1.0,1.0,1.0,1.0,1.0,3.75,94.45,98.69166666666666,99.75833333333333,99.84166666666665,73.05000000000001,66.69166666666668,99.23333333333333,81.21666666666667,69.10833333333333,78.05833333333332,92.31666666666666,68.05,62.31666666666666,13.208333333333334,7.808333333333334,2,2
759,29720,SC,8,0.9901500000000001,15.0,15.100000000000001,1,1.0,1.0,1.0,1.0,1.0,4.5,96.2,100.0,100.0,100.0,92.8,92.2,100.0,89.8,87.1,92.2,82.0,67.6,52.9,17.2,15.1,2,2
760,7652,NJ,1,1.065475,15.25,14.375,1,1.0,1.0,1.0,1.0,1.0,2.5,92.2,97.4,100.0,99.1,33.3,43.1,100.0,60.4,52.2,71.8,85.9,63.0,36.2,17.4,4.0,0,0
761,36401,AL,2,0.9001666666666667,13.766666666666667,15.283333333333331,1,1.0,1.0,1.0,1.0,1.0,2.5,89.5,97.0,99.8,97.5,69.3,68.1,93.7,66.0,66.6,68.8,71.7,65.1,58.1,17.3,12.2,1,1
762,36049,AL,1,1.011875,19.225,18.9,1,1.0,1.0,1.0,1.0,1.0,3.5,94.3,99.6,99.9,99.3,84.3,91.1,98.5,74.5,72.3,78.1,79.5,74.4,66.6,18.3,11.8,1,1
763,36420,AL,3,1.0507000000000002,20.46666666666666,19.466666666666672,1,1.0,1.0,1.0,1.0,1.0,2.5,96.6,95.4,99.7,97.6,70.9,71.8,95.5,60.8,58.1,63.0,68.1,59.2,46.8,18.3,14.9,1,1
764,95355,CA,0,1.074375,19.175,17.825,1,1.0,1.0,1.0,1.0,1.0,3.5,90.3,96.9,99.7,99.0,74.8,76.3,99.0,73.3,70.3,78.3,80.0,76.3,62.2,18.6,14.4,1,1
765,91352,CA,3,1.03,18.5,17.900000000000002,1,1.0,1.0,1.0,1.0,1.0,3.5,99.6,96.5,99.6,99.4,81.0,64.4,98.4,77.2,72.9,77.1,74.3,63.7,53.5,14.6,9.1,2,2
766,81416,CO,1,0.9742200000000001,16.56,16.98,1,1.0,0.5,0.5,0.5,1.0,3.25,92.7,99.55,99.45,100.0,52.449999999999996,52.85,97.5,65.8,63.55,76.2,72.65,76.25,45.75,15.25,11.9,2,2
767,33609,FL,3,1.0047,15.033333333333333,15.166666666666666,1,1.0,1.0,1.0,1.0,1.0,3.5,97.9,96.3,100.0,99.9,78.1,81.6,97.7,72.3,69.9,75.4,69.7,71.3,53.0,14.8,17.1,1,1
